id,tested_positive
426,17.708328
427,9.944084
428,32.204952
429,21.846642
430,12.20248
431,19.185017
432,16.773966
433,14.032768
434,8.328794
435,22.25975
436,32.180904
437,13.826249
438,5.2472177
439,4.742666
440,8.270476
441,6.461806
442,21.573515
443,19.629536
444,18.540337
445,5.2994685
446,5.0664268
447,14.586988
448,23.97825
449,24.06132
450,15.48093
451,10.190138
452,27.04234
453,14.537472
454,12.543467
455,10.903769
456,23.664307
457,17.221006
458,20.40135
459,7.1656175
460,21.809553
461,10.593983
462,15.182337
463,15.981166
464,8.034902
465,11.020198
466,10.416007
467,8.368947
468,12.083009
469,23.805796
470,17.784004
471,12.488247
472,23.257317
473,11.635308
474,14.73212
475,8.166883
476,13.966861
477,19.298077
478,22.286367
479,23.173601
480,23.126846
481,20.343767
482,26.910736
483,21.43233
484,25.732437
485,5.099553
486,19.27537
487,17.118021
488,22.337717
489,10.032219
490,13.712482
491,19.688824
492,18.000685
493,14.11166
494,16.553808
495,15.770913
496,15.495345
497,6.3701468
498,5.2472177
499,12.502014
500,14.299608
501,6.8712325
502,18.894535
503,12.243977
504,23.003992
505,24.760567
506,22.055084
507,11.450445
508,10.88799
509,16.81202
510,17.608412
511,15.211608
512,19.082123
513,10.75468
514,22.904562
515,14.514313
516,13.622498
517,14.381617
518,14.42095
519,27.010809
520,25.4533
521,16.728266
522,18.542814
523,23.293114
524,11.1519785
525,29.781843
526,6.939733
527,17.127161
528,15.6214695
529,10.586495
530,16.703743
531,11.800145
532,13.028326
533,13.682787
534,22.065481
535,6.1458154
536,24.706192
537,11.558324
538,24.036476
539,15.055492
540,34.01727
541,14.147456
542,19.788197
543,6.407182
544,11.20465
545,10.748242
546,6.643253
547,25.344608
548,21.144836
549,13.995998
550,14.037967
551,7.196057
552,20.426535
553,25.596132
554,21.36051
555,6.6892033
556,14.573498
557,16.157415
558,24.875471
559,19.627901
560,11.492906
561,12.44423
562,22.129341
563,18.644749
564,23.285006
565,11.85042
566,22.4144
567,25.102898
568,6.4796157
569,25.232841
570,13.8854065
571,16.547739
572,27.429804
573,23.257317
574,5.00681
575,19.609995
576,24.819458
577,33.147858
578,18.937325
579,20.222305
580,12.220902
581,10.287228
582,12.58489
583,10.418558
584,17.476692
585,10.079315
586,29.64969
587,14.328325
588,7.112966
589,11.745306
590,13.349755
591,23.31936
592,20.862167
593,29.518646
594,27.374617
595,29.909431
596,10.645159
597,13.168219
598,22.773071
599,24.337753
600,7.728724
601,10.665445
602,16.468565
603,17.647524
604,19.063553
605,21.752903
606,17.380926
607,27.57729
608,15.353198
609,23.42523
610,6.684607
611,16.386278
612,11.61206
613,27.338081
614,23.111929
615,11.063316
616,23.280472
617,13.838046
618,18.996443
619,10.772565
620,8.417032
621,15.067364
622,10.759827
623,23.769487
624,12.129761
625,25.152216
626,15.142635
627,16.017591
628,18.93499
629,10.787117
630,27.507778
631,18.047886
632,27.04771
633,24.519478
634,19.891113
635,12.017786
636,17.595108
637,13.276078
638,18.976582
639,20.384455
640,10.7054615
641,12.723709
642,25.208403
643,32.05115
644,22.237038
645,26.549507
646,7.200978
647,24.863379
648,5.211248
649,14.003172
650,14.766443
651,17.32275
652,12.139056
653,13.641316
654,15.651362
655,15.887745
656,14.537021
657,30.434605
658,13.502356
659,5.5211945
660,27.149044
661,25.2205
662,9.924208
663,11.7665825
664,11.339703
665,6.457868
666,24.006834
667,10.917077
668,21.669449
669,22.190039
670,12.332284
671,6.8446393
672,8.380952
673,15.655284
674,4.75285
675,14.227576
676,22.02517
677,25.242174
678,17.150917
679,12.574305
680,15.034057
681,12.028683
682,16.829239
683,18.924913
684,5.5171847
685,27.054443
686,18.87791
687,13.78109
688,6.9031625
689,12.530453
690,17.723452
691,9.496656
692,15.112063
693,4.310619
694,4.742666
695,11.387085
696,22.369415
697,29.651194
698,26.488436
699,6.2814026
700,7.6786475
701,4.292073
702,19.585535
703,17.264868
704,26.993979
705,7.0941367
706,18.432384
707,5.6387653
708,13.02608
709,13.410025
710,19.050909
711,10.5521555
712,24.162107
713,11.528732
714,5.955687
715,4.742666
716,10.712009
717,21.583654
718,13.17094
719,21.860424
720,8.246852
721,5.5060887
722,19.966684
723,24.627253
724,8.488571
725,18.659187
726,4.793235
727,13.652977
728,7.144423
729,17.196585
730,9.268536
731,9.5202875
732,21.480145
733,7.728724
734,21.822409
735,15.871771
736,6.630266
737,21.672037
738,7.9442024
739,24.020533
740,17.39936
741,16.817997
742,12.041446
743,24.379183
744,13.878845
745,14.116494
746,25.871712
747,27.45231
748,16.477747
749,9.631204
750,8.017599
751,23.02653
752,7.1075406
753,11.766065
754,19.270391
755,20.085936
756,20.320425
757,17.418873
758,12.799968
759,10.723693
760,15.731112
761,10.877657
762,6.407182
763,24.954216
764,30.404366
765,19.856798
766,20.254992
767,9.509891
768,13.857798
769,13.9535265
770,17.220144
771,13.337335
772,24.443497
773,18.012127
774,6.516911
775,11.53623
776,21.643253
777,20.975876
778,17.283504
779,13.458556
780,22.446796
781,29.284704
782,16.435738
783,20.068329
784,10.740501
785,6.650647
786,7.250749
787,21.139486
788,22.548265
789,15.264526
790,19.6993
791,8.371534
792,13.526192
793,15.3786545
794,11.3516655
795,19.418036
796,13.778216
797,13.0451145
798,8.317531
799,16.353003
800,13.400707
801,12.04962
802,11.570646
803,12.942556
804,13.582546
805,21.809553
806,11.765954
807,20.117563
808,20.471056
809,26.826555
810,13.528194
811,18.345478
812,14.512507
813,17.31918
814,9.666802
815,4.742666
816,6.9577312
817,15.327813
818,29.298113
819,8.423037
820,23.358128
821,15.786592
822,15.6297455
823,19.049164
824,24.006245
825,5.3835335
826,10.462168
827,19.22008
828,21.30227
829,16.163744
830,17.52977
831,4.310619
832,13.651592
833,12.455753
834,13.986439
835,27.597979
836,13.57056
837,17.358324
838,21.577124
839,17.35706
840,19.305159
841,33.562023
842,32.204952
843,18.823217
844,19.125101
845,8.095044
846,14.047
847,16.462149
848,9.52376
849,13.280269
850,6.5292287
851,6.5730834
852,6.885451
853,10.45706
854,8.002625
855,22.407728
856,22.825697
857,20.124306
858,7.788444
859,14.081791
860,20.455513
861,20.444263
862,22.324957
863,21.048347
864,13.439015
865,7.086038
866,10.132009
867,10.847044
868,23.645126
869,24.029173
870,8.450441
871,12.326786
872,14.150018
873,32.04452
874,27.377535
875,17.682783
876,18.86814
877,12.794927
878,18.333658
879,16.85475
880,8.475818
881,13.12497
882,10.397201
883,13.387361
884,27.006725
885,15.508449
886,30.267918
887,18.819683
888,13.594002
889,5.6791835
890,29.46992
891,25.207409
892,17.400091
